                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3762,                 3.1362,                 3.8801,                 1.3778,                0.00577,                0.26638,                0.04177,                0.02682,                 0.0058,                0.27196,                0.04332,                  0.029,                 1.2485,                 2.9381,                 3.8609,                 1.4045,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 1.2425,                 2.7715,                 3.8315,                 1.2918,                 0.0065,                0.25367,                0.07916,                 0.0553,                0.00647,                0.25549,                0.08111,                0.05712,                0.98963,                 2.0338,                 3.7616,                 1.1693,             0.00012181,             0.00012181,             0.00012181
                      3,                 1.0006,                 1.9557,                 3.6091,                 1.1079,                0.09477,                0.38077,                0.15706,                0.11481,                 0.0948,                0.38435,                0.15846,                0.11778,                0.89665,                 1.8493,                 3.6589,                 1.0606,             0.00018762,             0.00018762,             0.00018762
                      4,                0.95239,                 1.7046,                 3.3324,                 1.0681,                0.07844,                0.60424,                0.22906,                0.16089,                 0.0755,                0.60289,                0.22605,                0.16157,                0.84888,                 1.7789,                   3.59,                 1.0104,               0.000253,               0.000253,               0.000253
                      5,                0.92843,                 1.5798,                 3.0161,                 1.0463,                0.06669,                0.66531,                0.25052,                0.18339,                0.06401,                0.67545,                0.24717,                0.17992,                0.89035,                 1.8475,                  3.548,                 1.0199,             0.00031794,             0.00031794,             0.00031794
                      6,                0.95383,                 1.5222,                 2.6464,                 1.0662,                0.04124,                 0.6809,                0.31436,                0.22942,                0.04121,                0.69636,                  0.312,                0.22326,                0.88641,                 1.7501,                 3.5542,                 1.0169,             0.00038243,             0.00038243,             0.00038243
                      7,                0.92026,                 1.5024,                 2.2393,                 1.0599,                0.03751,                0.57233,                0.26897,                0.18245,                0.03617,                0.59303,                0.26681,                0.17649,                 0.9609,                 1.8665,                 3.6503,                  1.091,             0.00044649,             0.00044649,             0.00044649
                      8,                0.90359,                 1.4181,                 1.9382,                 1.0543,                0.04455,                0.58162,                0.29026,                0.18576,                0.04407,                0.63293,                0.29211,                0.19933,                 0.9698,                 1.9391,                 3.6505,                 1.1166,             0.00051011,             0.00051011,             0.00051011
                      9,                 0.8724,                 1.3846,                 1.7594,                 1.0401,                0.02177,                0.52667,                0.16633,                0.08301,                0.02241,                0.58401,                0.19891,                0.12009,                 1.2018,                  2.207,                 3.7684,                 1.3103,             0.00057328,             0.00057328,             0.00057328
                     10,                0.83984,                 1.3208,                 1.6102,                  1.011,                0.01786,                0.53817,                 0.1879,                0.09434,                0.01823,                0.57987,                0.20337,                0.11157,                 1.1845,                 2.2893,                 3.7471,                  1.309,             0.00063602,             0.00063602,             0.00063602
